Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,2,0.022259,0.72,0.29,0.43,0.002551,0.002766,-0.000215,54296.39
2,2,0.022261,0.71,0.51,0.2,0.002558,0.002769,-0.000211,54309.02
4,2,0.022276,0.55,0.69,-0.14,0.002571,0.002775,-0.000204,54332.95
8,2,0.022326,0.34,0.24,0.1,0.002593,0.002786,-0.000193,54374.86
16,2,0.022379,0.40,0.40,0.0,0.002642,0.002810,-0.000168,54383.74
32,2,0.022519,0.48,0.61,-0.13,0.002735,0.002848,-0.000113,54402.70
64,2,0.022760,0.39,0.66,-0.27,0.002921,0.002933,-1.2e-05,54512.21
128,2,0.023179,0.90,0.35,0.55,0.003292,0.003104,0.000188,54711.13
256,2,0.023899,0.79,0.82,-0.03,0.004015,0.003443,0.000572,53843.81
512,2,0.024438,0.87,0.91,-0.04,0.005546,0.004124,0.001422,55450.43
1024,2,0.025228,1.22,1.05,0.17,0.008546,0.005497,0.003049,55368.34
2048,2,0.026371,1.90,1.11,0.79,0.014269,0.008319,0.00595,53758.13
4096,2,0.026696,2.18,1.40,0.78,0.026318,0.014211,0.012107,53818.41
8192,2,0.026911,4.35,2.20,2.15,0.050756,0.026497,0.024259,53457.55
16384,2,0.026994,9.44,4.12,5.32,0.100167,0.051317,0.04885,53572.36
65536,2,0.025835,34.89,15.91,18.98,0.396094,0.200069,0.196025,53239.42
262144,2,0.021612,132.51,58.22,74.29,1.686090,0.737994,0.948096,52464.66
1048576,2,0.019953,491.84,207.21,284.63,6.930421,2.829416,4.101005,52150.58
4194304,2,0.019552,1889.13,799.43,1089.7,27.907738,11.197366,16.710372,52073.70
