Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,2,0.522612,0.43,0.37,0.06,0.000109,0.000115,-6e-06,100746.14
2,2,0.520531,0.15,0.27,-0.12,0.000109,0.000115,-6e-06,100721.21
4,2,0.520607,0.28,0.34,-0.06,0.000110,0.000116,-6e-06,100589.51
8,2,0.523315,0.33,0.43,-0.1,0.000111,0.000116,-5e-06,100595.48
16,2,0.528012,0.22,0.19,0.03,0.000112,0.000116,-4e-06,101033.85
32,2,0.535461,0.42,0.29,0.13,0.000115,0.000118,-3e-06,100888.78
64,2,0.548862,0.20,0.48,-0.28,0.000121,0.000120,1e-06,100814.28
128,2,0.571470,0.39,0.44,-0.05,0.000134,0.000125,9e-06,101101.02
256,2,0.606421,0.67,0.18,0.49,0.000158,0.000135,2.3e-05,101269.46
512,2,0.654554,0.86,0.38,0.48,0.000207,0.000155,5.2e-05,100893.20
1024,2,0.703576,0.81,0.79,0.02,0.000306,0.000197,0.000109,99974.65
2048,2,0.750392,1.05,0.51,0.54,0.000501,0.000275,0.000226,98803.23
4096,2,0.773555,1.35,0.79,0.56,0.000908,0.000447,0.000461,97117.76
8192,2,0.782312,2.48,1.39,1.09,0.001746,0.000800,0.000946,94196.94
16384,2,0.790297,5.66,2.43,3.23,0.003421,0.001505,0.001916,89240.89
65536,2,0.773510,21.65,9.49,12.16,0.013230,0.005827,0.007403,79015.60
262144,2,0.742662,77.76,33.88,43.88,0.049066,0.021290,0.027776,69750.49
1048576,2,0.721509,280.09,122.91,157.18,0.191658,0.081502,0.110156,69967.00
4194304,2,0.716059,1053.24,458.21,595.03,0.762024,0.322355,0.439669,69205.70
