Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,2,0.020614,0.51,0.24,0.27,0.002841,0.002764,7.7e-05,55035.43
2,2,0.020614,0.44,0.24,0.2,0.002841,0.002764,7.7e-05,55035.43
4,2,0.020614,0.45,0.24,0.21,0.002841,0.002764,7.7e-05,55035.43
8,2,0.020614,0.35,0.24,0.11,0.002841,0.002764,7.7e-05,55035.43
16,2,0.020614,0.67,0.24,0.43,0.002843,0.002764,7.9e-05,55026.77
32,2,0.020614,0.55,0.24,0.31,0.002843,0.002764,7.9e-05,55026.77
64,2,0.020614,0.44,0.24,0.2,0.002843,0.002764,7.9e-05,55026.77
128,2,0.020616,0.56,0.24,0.32,0.002845,0.002764,8.1e-05,55062.27
256,2,0.020616,0.58,0.24,0.34,0.002844,0.002764,8e-05,55059.92
512,2,0.020614,0.35,0.24,0.11,0.002845,0.002764,8.1e-05,55044.53
1024,2,0.020634,0.41,0.24,0.17,0.002844,0.002764,8e-05,53832.93
2048,2,0.020633,0.50,0.24,0.26,0.002844,0.002764,8e-05,53840.37
4096,2,0.020628,0.33,0.24,0.09,0.002845,0.002764,8.1e-05,53830.02
8192,2,0.020618,0.70,0.24,0.46,0.002846,0.002764,8.2e-05,53844.44
16384,2,0.020601,0.26,0.24,0.02,0.002850,0.002764,8.6e-05,53819.72
65536,2,0.020491,0.29,0.24,0.05,0.002866,0.002764,0.000102,53815.82
262144,2,0.020066,0.27,0.24,0.03,0.002928,0.002764,0.000164,53861.47
1048576,2,0.018525,0.26,0.24,0.02,0.003174,0.002764,0.00041,53856.11
4194304,2,0.014165,0.26,0.24,0.02,0.004151,0.002764,0.001387,53851.09
