Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,8,0.897078,24.28,23.79,0.49,0.003844,0.003843,1e-06,74500.07
2,8,0.897086,21.99,22.44,-0.45,0.003844,0.003843,1e-06,74462.77
4,8,0.897090,21.85,20.25,1.6,0.003844,0.003843,1e-06,74439.30
8,8,0.897084,23.31,21.67,1.64,0.003844,0.003843,1e-06,74530.31
16,8,0.896880,22.71,23.06,-0.35,0.003845,0.003843,2e-06,74588.86
32,8,0.896716,22.02,22.39,-0.37,0.003846,0.003844,2e-06,74836.24
64,8,0.896661,22.81,20.73,2.08,0.003847,0.003845,2e-06,74667.29
128,8,0.896695,23.47,23.78,-0.31,0.003849,0.003846,3e-06,74634.63
256,8,0.896172,22.45,19.77,2.68,0.003855,0.003851,4e-06,74801.73
512,8,0.895973,22.44,23.76,-1.32,0.003864,0.003856,8e-06,74586.72
1024,8,0.895438,21.21,18.08,3.13,0.003881,0.003866,1.5e-05,74936.15
2048,8,0.894696,24.07,24.58,-0.51,0.003914,0.003888,2.6e-05,74667.95
4096,8,0.893265,24.44,23.75,0.69,0.003980,0.003929,5.1e-05,74405.21
8192,8,0.889850,23.13,22.75,0.38,0.004115,0.004013,0.000102,74882.63
16384,8,0.884211,8.98,8.63,0.35,0.004382,0.004181,0.000201,74924.29
65536,8,0.864925,12.04,10.84,1.2,0.005957,0.005160,0.000797,83922.64
262144,8,0.835000,23.78,18.12,5.66,0.012292,0.009104,0.003188,88923.65
1048576,8,0.816052,63.18,45.01,18.17,0.037634,0.024879,0.012755,90560.19
4194304,8,0.809350,207.00,139.54,67.46,0.139001,0.087981,0.05102,91001.09
