Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,8,0.021104,0.53,0.42,0.11,0.002674,0.002549,0.000125,55042.04
2,8,0.021113,0.53,0.70,-0.17,0.002674,0.002549,0.000125,55034.94
4,8,0.021112,0.49,0.47,0.02,0.002677,0.002550,0.000127,55039.80
8,8,0.021111,0.37,0.67,-0.3,0.002682,0.002553,0.000129,55027.64
16,8,0.021100,0.66,0.42,0.24,0.002693,0.002560,0.000133,55005.88
32,8,0.021090,0.67,0.59,0.08,0.002714,0.002571,0.000143,54980.60
64,8,0.021069,0.41,0.70,-0.29,0.002756,0.002594,0.000162,54950.89
128,8,0.021027,0.42,0.38,0.04,0.002841,0.002639,0.000202,54832.01
256,8,0.020990,0.45,0.58,-0.13,0.003010,0.002739,0.000271,54698.22
512,8,0.021455,0.46,0.32,0.14,0.003255,0.002919,0.000336,54484.65
1024,8,0.021640,0.37,0.47,-0.1,0.003843,0.003281,0.000562,54377.62
2048,8,0.022091,1.08,0.46,0.62,0.004970,0.004006,0.000964,53806.33
4096,8,0.022753,0.89,0.60,0.29,0.007166,0.005452,0.001714,53337.73
8192,8,0.022988,0.94,0.60,0.34,0.011935,0.006743,0.005192,52983.74
16384,8,0.023423,1.75,1.04,0.71,0.020800,0.010618,0.010182,51968.35
65536,8,0.023855,5.83,3.18,2.65,0.073986,0.034011,0.039975,51793.41
262144,8,0.023995,21.87,11.63,10.24,0.286605,0.127562,0.159043,51729.12
1048576,8,0.024089,84.79,45.44,39.35,1.134287,0.499667,0.63462,52135.58
4194304,8,0.024097,341.81,183.77,158.04,4.528083,1.990009,2.538074,52131.25
