Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,8,0.468034,0.11,0.11,0.0,0.000128,0.000137,-9e-06,93203.79
2,8,0.496515,0.30,0.15,0.15,0.000114,0.000114,0.0,93277.83
4,8,0.496713,0.34,0.21,0.13,0.000114,0.000114,0.0,93337.57
8,8,0.497487,0.26,0.19,0.07,0.000114,0.000114,0.0,93252.20
16,8,0.497392,0.35,0.23,0.12,0.000114,0.000115,-1e-06,93608.32
32,8,0.497086,0.18,0.14,0.04,0.000115,0.000115,0.0,93241.94
64,8,0.500168,0.34,0.31,0.03,0.000116,0.000116,0.0,93453.29
128,8,0.504080,0.16,0.16,0.0,0.000118,0.000117,1e-06,93468.91
256,8,0.507257,0.15,0.28,-0.13,0.000125,0.000122,3e-06,92969.29
512,8,0.526690,0.28,0.32,-0.04,0.000133,0.000127,6e-06,91959.00
1024,8,0.559236,0.19,0.26,-0.07,0.000149,0.000138,1.1e-05,90952.22
2048,8,0.605805,0.44,0.22,0.22,0.000181,0.000159,2.2e-05,88710.76
4096,8,0.664002,0.53,0.26,0.27,0.000246,0.000201,4.5e-05,85334.57
8192,8,0.693701,0.60,0.35,0.25,0.000395,0.000290,0.000105,81497.00
16384,8,0.733835,0.86,0.66,0.2,0.000664,0.000439,0.000225,79385.81
65536,8,0.784209,3.03,1.78,1.25,0.002251,0.001269,0.000982,89963.24
262144,8,0.800909,11.66,6.44,5.22,0.008587,0.004623,0.003964,90776.14
1048576,8,0.805355,45.29,24.77,20.52,0.033928,0.018039,0.015889,91054.31
4194304,8,0.806480,184.86,98.63,86.23,0.135296,0.071704,0.063592,91111.20
