Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,8,0.020614,0.29,0.24,0.05,0.002841,0.002764,7.7e-05,55035.43
2,8,0.020614,0.31,0.24,0.07,0.002841,0.002764,7.7e-05,55035.43
4,8,0.020614,0.41,0.24,0.17,0.002841,0.002764,7.7e-05,55035.43
8,8,0.020614,0.42,0.24,0.18,0.002841,0.002764,7.7e-05,55035.43
16,8,0.020614,0.31,0.24,0.07,0.002843,0.002764,7.9e-05,55026.77
32,8,0.020614,0.40,0.24,0.16,0.002843,0.002764,7.9e-05,55026.77
64,8,0.020614,0.74,0.24,0.5,0.002843,0.002764,7.9e-05,55025.34
128,8,0.020614,0.36,0.24,0.12,0.002845,0.002764,8.1e-05,55044.53
256,8,0.020614,0.38,0.24,0.14,0.002845,0.002764,8.1e-05,55046.85
512,8,0.020612,0.60,0.24,0.36,0.002845,0.002764,8.1e-05,55055.77
1024,8,0.020628,0.43,0.24,0.19,0.002845,0.002764,8.1e-05,53830.02
2048,8,0.020618,0.43,0.24,0.19,0.002846,0.002764,8.2e-05,53844.44
4096,8,0.020601,0.37,0.24,0.13,0.002849,0.002764,8.5e-05,53832.76
8192,8,0.020563,0.54,0.24,0.3,0.002854,0.002764,9e-05,53837.26
16384,8,0.020491,0.25,0.24,0.01,0.002866,0.002764,0.000102,53815.82
65536,8,0.020065,0.26,0.24,0.02,0.002927,0.002764,0.000163,53831.60
262144,8,0.018521,0.26,0.24,0.02,0.003173,0.002764,0.000409,53863.43
1048576,8,0.014165,0.25,0.24,0.01,0.004151,0.002764,0.001387,53851.09
4194304,8,0.007297,0.26,0.24,0.02,0.008059,0.002764,0.005295,53845.25
