Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,4,0.022229,0.31,0.80,-0.49,0.002540,0.002610,-7e-05,55185.07
2,4,0.022228,0.50,0.58,-0.08,0.002541,0.002611,-7e-05,55182.18
4,4,0.022235,0.41,0.45,-0.04,0.002543,0.002612,-6.9e-05,55184.87
8,4,0.022229,0.48,0.40,0.08,0.002549,0.002616,-6.7e-05,55170.57
16,4,0.022217,0.32,0.59,-0.27,0.002560,0.002623,-6.3e-05,55159.87
32,4,0.022189,0.39,0.28,0.11,0.002583,0.002631,-4.8e-05,55141.42
64,4,0.022075,0.25,0.38,-0.13,0.002635,0.002651,-1.6e-05,55074.35
128,4,0.022020,0.53,0.40,0.13,0.002720,0.002692,2.8e-05,54990.73
256,4,0.021923,0.31,0.46,-0.15,0.002890,0.002772,0.000118,54765.73
512,4,0.022108,0.57,0.79,-0.22,0.003184,0.002941,0.000243,54539.40
1024,4,0.022565,0.36,0.38,-0.02,0.003732,0.003263,0.000469,54149.22
2048,4,0.023144,0.46,0.48,-0.02,0.004834,0.003906,0.000928,53978.66
4096,4,0.023601,0.64,0.61,0.03,0.007083,0.005194,0.001889,53326.71
8192,4,0.024075,1.16,1.32,-0.16,0.011537,0.007767,0.00377,52945.52
16384,4,0.024362,1.92,1.33,0.59,0.020482,0.012913,0.007569,52633.01
65536,4,0.024739,6.76,4.57,2.19,0.073815,0.043840,0.029975,51981.54
262144,4,0.024825,26.19,17.15,9.04,0.287389,0.167351,0.120038,51895.16
1048576,4,0.024847,97.00,64.89,32.11,1.141721,0.661395,0.480326,51844.41
4194304,4,0.024854,365.03,247.39,117.64,4.558751,2.637570,1.921181,51838.37
