Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,4,0.495607,0.32,0.37,-0.05,0.000114,0.000116,-2e-06,94155.98
2,4,0.495110,0.32,0.19,0.13,0.000114,0.000116,-2e-06,94349.34
4,4,0.495879,0.39,0.32,0.07,0.000114,0.000116,-2e-06,94237.20
8,4,0.496391,0.41,0.25,0.16,0.000114,0.000116,-2e-06,94432.33
16,4,0.497266,0.14,0.25,-0.11,0.000114,0.000116,-2e-06,94049.78
32,4,0.498144,0.35,0.38,-0.03,0.000115,0.000117,-2e-06,93993.53
64,4,0.500366,0.19,0.38,-0.19,0.000116,0.000118,-2e-06,93850.10
128,4,0.504483,0.48,0.15,0.33,0.000119,0.000119,0.0,94319.09
256,4,0.513945,0.24,0.19,0.05,0.000123,0.000123,0.0,94164.15
512,4,0.526261,0.30,0.15,0.15,0.000134,0.000130,4e-06,93407.67
1024,4,0.558274,0.19,0.36,-0.17,0.000151,0.000142,9e-06,92522.26
2048,4,0.604151,0.35,0.26,0.09,0.000185,0.000165,2e-05,90760.82
4096,4,0.658144,0.49,0.27,0.22,0.000254,0.000211,4.3e-05,88329.33
8192,4,0.710247,0.56,0.39,0.17,0.000391,0.000303,8.8e-05,85063.89
16384,4,0.749864,1.04,0.73,0.31,0.000665,0.000487,0.000178,80831.75
65536,4,0.783982,3.73,2.45,1.28,0.002329,0.001578,0.000751,74023.82
262144,4,0.796372,13.66,9.01,4.65,0.008959,0.005947,0.003012,72544.96
1048576,4,0.799601,52.02,34.65,17.37,0.035478,0.023426,0.012052,72143.62
4194304,4,0.800414,191.92,127.48,64.44,0.141555,0.093343,0.048212,72036.13
