Vector_Size,Element_Bytes,IPC,Host_Seconds,Overhead_Host_Seconds,Pure_Host_Seconds,Sim_Seconds,Overhead_Seconds,Pure_AXPY_Seconds,Memory_Latency_avg
1,4,0.020614,0.61,0.24,0.37,0.002841,0.002764,7.7e-05,55035.43
2,4,0.020614,0.77,0.24,0.53,0.002841,0.002764,7.7e-05,55035.43
4,4,0.020614,0.50,0.24,0.26,0.002841,0.002764,7.7e-05,55035.43
8,4,0.020614,0.31,0.24,0.07,0.002841,0.002764,7.7e-05,55035.43
16,4,0.020614,0.32,0.24,0.08,0.002843,0.002764,7.9e-05,55026.77
32,4,0.020614,0.53,0.24,0.29,0.002843,0.002764,7.9e-05,55026.77
64,4,0.020614,0.38,0.24,0.14,0.002843,0.002764,7.9e-05,55026.77
128,4,0.020616,0.34,0.24,0.1,0.002844,0.002764,8e-05,55059.92
256,4,0.020614,0.31,0.24,0.07,0.002845,0.002764,8.1e-05,55044.53
512,4,0.020614,0.58,0.24,0.34,0.002845,0.002764,8.1e-05,55046.85
1024,4,0.020633,0.28,0.24,0.04,0.002844,0.002764,8e-05,53840.37
2048,4,0.020628,0.42,0.24,0.18,0.002845,0.002764,8.1e-05,53830.02
4096,4,0.020618,0.48,0.24,0.24,0.002846,0.002764,8.2e-05,53844.44
8192,4,0.020601,0.40,0.24,0.16,0.002849,0.002764,8.5e-05,53832.76
16384,4,0.020565,0.24,0.24,0.0,0.002855,0.002764,9.1e-05,53814.13
65536,4,0.020348,0.25,0.24,0.01,0.002886,0.002764,0.000122,53832.29
262144,4,0.019523,0.25,0.24,0.01,0.003010,0.002764,0.000246,53862.68
1048576,4,0.016800,0.25,0.24,0.01,0.003500,0.002764,0.000736,53846.40
4194304,4,0.010782,0.25,0.24,0.01,0.005454,0.002764,0.00269,53863.24
